mpg,horsepower,weight,displacement,acceleration,model_year,origin,cylinders
27.19,157.4,2890,211.9,9.1,82,europe,6
32.74,112.4,2948,229.3,11.2,76,usa,4
34.2,130.9,2986,233.4,15.4,78,europe,6
30.81,60.0,3113,94.4,12.9,77,japan,6
27.4,85.3,3474,268.4,13.1,82,usa,8
35.95,111.2,2444,136.0,12.2,79,europe,4
38.63,87.8,2414,250.6,12.7,71,europe,4
28.22,141.4,2453,199.1,13.6,70,europe,6
30.33,179.9,3144,89.9,10.4,75,usa,4
29.23,84.7,3622,174.7,13.8,76,usa,4
29.32,94.9,2784,229.2,9.3,78,usa,4
38.06,127.1,1800,249.0,12.7,76,europe,4
34.27,168.3,2148,188.7,12.4,76,japan,4
33.4,83.3,2583,322.5,10.8,81,europe,4
30.78,127.5,2721,280.6,12.0,74,usa,4
25.69,174.6,2796,179.5,10.8,76,usa,4
27.81,70.4,3019,260.0,9.9,77,japan,4
29.19,81.6,2844,354.7,11.3,76,usa,6
23.76,107.3,3525,356.8,9.8,82,europe,4
34.44,104.4,2662,101.8,12.6,82,japan,8
27.69,144.4,2569,125.9,9.7,76,europe,8
25.65,127.2,3239,318.8,13.4,75,usa,4
44.67,66.8,2232,115.3,9.6,77,europe,4
27.08,135.5,3195,94.2,10.9,72,europe,6
29.16,102.7,3051,161.1,10.8,75,europe,8
22.92,158.2,2926,233.6,14.7,72,usa,6
19.83,101.2,3794,191.8,12.7,71,usa,8
31.04,100.9,2689,148.0,11.6,71,usa,6
20.05,136.2,4030,146.1,13.0,77,usa,6
29.96,142.9,2887,143.0,7.8,70,japan,4
33.14,133.4,2361,129.6,11.9,78,japan,6
33.54,69.4,3035,382.5,16.0,75,europe,4
29.72,136.1,2462,223.8,12.3,74,usa,6
33.17,89.0,2624,270.9,12.1,80,usa,8
28.71,127.1,3199,160.9,13.1,77,usa,4
31.04,77.3,3278,185.1,13.8,79,usa,6
30.89,133.4,2689,142.9,8.0,79,usa,4
21.9,95.8,3494,70.0,8.6,70,usa,6
29.44,81.5,3579,89.8,12.4,72,usa,4
24.74,141.4,3718,70.0,10.6,77,japan,8
33.44,127.2,3265,70.0,14.6,82,usa,4
22.85,101.6,3682,104.4,11.4,72,europe,8
30.42,163.5,2060,306.0,8.1,71,japan,8
31.2,106.8,2841,196.4,9.5,82,usa,6
30.89,121.0,2566,303.2,7.0,82,europe,6
27.53,128.1,3060,232.9,11.5,72,europe,6
33.52,101.4,2714,262.6,11.6,75,usa,8
28.14,134.1,2917,127.9,11.2,78,usa,4
26.31,104.0,3941,241.9,14.2,72,japan,6
27.13,107.7,2915,258.3,14.4,74,usa,4
26.01,160.9,3207,153.9,11.7,75,usa,6
34.7,88.8,2884,244.8,7.7,78,usa,4
33.74,60.0,3038,245.3,13.2,74,europe,6
29.6,168.3,3003,156.0,13.1,75,japan,6
